airline,from,to,day,month,year,age,gender,reason,stay,transit,connection,wait
American Airlines,GDL,LAX,25,9,2018,8,female,On vacation/Pleasure,Home,,True,372
American Airlines,GDL,JFK,4,5,2021,59,undisclosed,Back Home,Home,Pickup,False,0
Aeromexico,LAX,GDL,23,4,2016,26,female,On vacation/Pleasure,Home,Pickup,False,0
Volaris,GDL,JFK,25,2,2019,79,undisclosed,Business/Work,Hotel,,True,58
Aeromexico,JFK,PDX,23,10,2019,87,unspecified,Back Home,Home,Public Transportation,False,0
American Airlines,JFK,GDL,18,6,2016,27,female,Back Home,Home,Car rental,False,0
Alaska,PDX,JFK,27,9,2020,29,male,On vacation/Pleasure,Friend/Family,Mobility as a service,False,0
American Airlines,GDL,JFK,8,1,2014,17,undisclosed,Business/Work,Hotel,,True,594
Volaris,GDL,SJC,10,12,2014,64,female,On vacation/Pleasure,Short-term homestay,Mobility as a service,False,0
Aeromexico,PDX,LAX,23,5,2020,43,undisclosed,Business/Work,Short-term homestay,,True,494
Alaska,SJC,PDX,20,12,2015,49,undisclosed,Back Home,Home,Mobility as a service,False,0
Delta Airlines,PDX,LAX,12,10,2014,68,male,Back Home,Home,Car rental,False,0
Volaris,PDX,SJC,29,7,2021,2,unspecified,Back Home,Home,Car rental,False,0
Alaska,SJC,GDL,28,12,2021,13,undisclosed,Business/Work,Short-term homestay,Pickup,False,0
Aeromexico,PDX,SJC,22,12,2015,26,male,Business/Work,Short-term homestay,Car rental,False,0
American Airlines,JFK,LAX,19,2,2016,19,female,Business/Work,Hotel,Own car,False,0
American Airlines,GDL,PDX,29,9,2018,68,unspecified,Business/Work,Friend/Family,,True,572
American Airlines,SJC,GDL,6,9,2014,28,unspecified,On vacation/Pleasure,Home,Mobility as a service,False,0
Volaris,JFK,SJC,5,3,2018,63,male,On vacation/Pleasure,Hotel,,True,366
Aeromexico,LAX,JFK,11,12,2022,57,female,Back Home,Home,Mobility as a service,False,0
Volaris,PDX,GDL,25,6,2019,20,female,Business/Work,Hotel,,True,418
Alaska,SJC,LAX,29,4,2015,53,male,Back Home,Home,Car rental,False,0
Delta Airlines,LAX,SJC,5,5,2019,48,male,Business/Work,Hotel,,True,175
Delta Airlines,PDX,LAX,16,3,2021,39,unspecified,On vacation/Pleasure,Home,,True,342
Volaris,PDX,GDL,26,3,2023,73,unspecified,Back Home,Home,Pickup,False,0
Alaska,LAX,PDX,23,1,2013,71,unspecified,On vacation/Pleasure,Hotel,Mobility as a service,False,0
American Airlines,JFK,GDL,2,1,2022,87,unspecified,Back Home,Home,Pickup,False,0
American Airlines,LAX,GDL,13,3,2014,15,male,Back Home,Home,Public Transportation,False,0
Aeromexico,GDL,JFK,12,8,2018,33,female,Back Home,Home,Pickup,False,0
Alaska,PDX,JFK,5,10,2022,54,undisclosed,Back Home,Home,Airport cab,False,0
Alaska,LAX,JFK,4,12,2017,10,unspecified,Back Home,Home,Airport cab,False,0
Delta Airlines,LAX,GDL,15,1,2015,54,undisclosed,Business/Work,Friend/Family,Car rental,False,0
Aeromexico,SJC,GDL,27,12,2017,14,unspecified,Back Home,Home,Mobility as a service,False,0
Alaska,JFK,SJC,15,1,2021,19,unspecified,On vacation/Pleasure,Friend/Family,,True,91
Volaris,SJC,GDL,29,4,2014,17,male,On vacation/Pleasure,Friend/Family,Car rental,False,0
American Airlines,PDX,JFK,28,5,2016,10,undisclosed,Business/Work,Home,,True,590
Alaska,JFK,PDX,24,5,2015,11,male,On vacation/Pleasure,Friend/Family,Pickup,False,0
American Airlines,JFK,SJC,10,8,2020,65,female,Business/Work,Hotel,,True,677
Alaska,GDL,JFK,13,4,2022,36,unspecified,On vacation/Pleasure,Short-term homestay,,True,161
American Airlines,JFK,GDL,12,9,2016,16,undisclosed,On vacation/Pleasure,Short-term homestay,,True,52
Aeromexico,PDX,GDL,30,6,2018,68,male,Business/Work,Friend/Family,,True,334
Volaris,SJC,LAX,20,5,2018,7,male,On vacation/Pleasure,Friend/Family,Mobility as a service,False,0
Volaris,LAX,SJC,28,9,2017,49,undisclosed,Business/Work,Friend/Family,Public Transportation,False,0
Volaris,GDL,JFK,30,4,2020,35,undisclosed,Business/Work,Home,,True,427
Delta Airlines,JFK,SJC,1,12,2016,9,unspecified,Business/Work,Home,,True,519
Volaris,JFK,SJC,27,8,2017,80,unspecified,On vacation/Pleasure,Short-term homestay,,True,375
American Airlines,SJC,LAX,23,4,2019,79,female,Back Home,Home,Pickup,False,0
Volaris,JFK,LAX,4,5,2019,63,male,On vacation/Pleasure,Short-term homestay,Public Transportation,False,0
Aeromexico,SJC,GDL,11,12,2021,7,male,Business/Work,Hotel,Airport cab,False,0
Aeromexico,PDX,SJC,28,8,2014,10,unspecified,Business/Work,Friend/Family,,True,237
Delta Airlines,SJC,LAX,19,8,2021,5,female,Back Home,Home,Airport cab,False,0
Delta Airlines,GDL,PDX,30,5,2016,33,unspecified,Back Home,Home,Pickup,False,0
Volaris,JFK,GDL,30,9,2014,20,unspecified,Business/Work,Short-term homestay,Pickup,False,0
Delta Airlines,SJC,JFK,7,12,2018,65,undisclosed,On vacation/Pleasure,Hotel,Public Transportation,False,0
Aeromexico,JFK,GDL,7,6,2022,32,unspecified,Business/Work,Short-term homestay,Airport cab,False,0
Delta Airlines,GDL,PDX,28,10,2014,38,male,Business/Work,Friend/Family,,True,422
American Airlines,LAX,JFK,13,8,2013,82,undisclosed,Business/Work,Friend/Family,,True,390
American Airlines,LAX,SJC,17,7,2022,42,male,On vacation/Pleasure,Home,Mobility as a service,False,0
American Airlines,GDL,JFK,14,3,2013,6,female,On vacation/Pleasure,Hotel,,True,273
Alaska,GDL,LAX,17,9,2021,32,male,Business/Work,Short-term homestay,Mobility as a service,False,0
Alaska,PDX,SJC,12,4,2023,19,undisclosed,Business/Work,Home,Mobility as a service,False,0
Delta Airlines,GDL,SJC,23,7,2013,29,female,Business/Work,Friend/Family,,True,220
Delta Airlines,JFK,LAX,24,6,2014,58,unspecified,Back Home,Home,Car rental,False,0
American Airlines,SJC,LAX,7,3,2017,79,female,On vacation/Pleasure,Hotel,,True,659
Volaris,GDL,LAX,15,5,2015,15,female,Back Home,Home,Public Transportation,False,0
Alaska,LAX,JFK,21,9,2017,18,unspecified,Business/Work,Friend/Family,,True,444
Aeromexico,SJC,JFK,8,4,2020,67,undisclosed,Business/Work,Short-term homestay,Own car,False,0
Alaska,JFK,GDL,29,3,2019,60,unspecified,On vacation/Pleasure,Home,,True,435
Alaska,LAX,PDX,9,3,2021,44,female,On vacation/Pleasure,Friend/Family,,True,639
Volaris,GDL,JFK,9,2,2013,29,male,On vacation/Pleasure,Home,Car rental,False,0
American Airlines,GDL,LAX,5,4,2018,15,female,On vacation/Pleasure,Short-term homestay,,True,160
Aeromexico,GDL,SJC,23,6,2014,17,unspecified,Business/Work,Short-term homestay,Car rental,False,0
Alaska,GDL,JFK,19,10,2022,60,undisclosed,Back Home,Home,Car rental,False,0
Delta Airlines,GDL,LAX,30,4,2014,17,female,On vacation/Pleasure,Friend/Family,,True,419
Volaris,SJC,PDX,22,9,2020,49,male,On vacation/Pleasure,Friend/Family,Pickup,False,0
Volaris,SJC,GDL,21,10,2016,69,unspecified,Business/Work,Short-term homestay,Mobility as a service,False,0
Aeromexico,LAX,PDX,16,2,2015,32,male,Back Home,Home,Car rental,False,0
Delta Airlines,SJC,PDX,25,4,2013,27,male,Back Home,Home,Public Transportation,False,0
Aeromexico,JFK,PDX,24,7,2015,18,male,Business/Work,Home,Mobility as a service,False,0
Aeromexico,GDL,JFK,5,9,2013,52,undisclosed,On vacation/Pleasure,Friend/Family,Pickup,False,0
Volaris,SJC,PDX,23,11,2018,54,undisclosed,Back Home,Home,Airport cab,False,0
Alaska,JFK,LAX,14,10,2019,82,unspecified,Business/Work,Short-term homestay,,True,196
Aeromexico,JFK,SJC,13,7,2016,86,female,Back Home,Home,Own car,False,0
Volaris,LAX,PDX,7,12,2017,30,undisclosed,On vacation/Pleasure,Home,,True,655
Alaska,JFK,PDX,28,5,2016,80,female,Business/Work,Home,Public Transportation,False,0
Alaska,SJC,LAX,18,9,2018,3,male,Business/Work,Short-term homestay,Pickup,False,0
Alaska,JFK,SJC,7,11,2016,27,male,Business/Work,Friend/Family,,True,621
Aeromexico,LAX,JFK,11,1,2018,12,female,On vacation/Pleasure,Home,Own car,False,0
Volaris,SJC,JFK,12,7,2019,34,female,On vacation/Pleasure,Short-term homestay,Public Transportation,False,0
Aeromexico,PDX,LAX,6,9,2013,9,male,Business/Work,Hotel,Mobility as a service,False,0
American Airlines,JFK,PDX,11,10,2014,75,unspecified,Back Home,Home,Public Transportation,False,0
Volaris,JFK,PDX,2,11,2014,64,undisclosed,On vacation/Pleasure,Friend/Family,Own car,False,0
Volaris,PDX,SJC,4,1,2023,1,unspecified,Back Home,Home,Mobility as a service,False,0
Aeromexico,LAX,PDX,8,5,2017,40,male,Back Home,Home,Mobility as a service,False,0
American Airlines,SJC,GDL,22,9,2022,35,undisclosed,Back Home,Home,Own car,False,0
Alaska,GDL,PDX,8,5,2014,84,female,On vacation/Pleasure,Friend/Family,,True,217
Volaris,JFK,GDL,19,2,2023,83,female,On vacation/Pleasure,Home,,True,659
Delta Airlines,SJC,JFK,2,4,2022,57,male,Business/Work,Friend/Family,,True,229
Volaris,JFK,SJC,16,3,2018,21,male,Back Home,Home,Mobility as a service,False,0
American Airlines,LAX,PDX,9,7,2016,33,female,Business/Work,Hotel,Pickup,False,0
Volaris,JFK,PDX,9,10,2021,1,unspecified,Business/Work,Short-term homestay,Car rental,False,0
Alaska,JFK,LAX,15,4,2018,86,unspecified,On vacation/Pleasure,Short-term homestay,,True,373
Volaris,GDL,JFK,5,7,2020,31,female,Back Home,Home,Airport cab,False,0
American Airlines,JFK,PDX,27,5,2020,30,male,Business/Work,Short-term homestay,,True,132
Delta Airlines,JFK,GDL,20,7,2015,31,female,On vacation/Pleasure,Friend/Family,Pickup,False,0
Aeromexico,LAX,SJC,4,4,2020,89,undisclosed,Business/Work,Hotel,Car rental,False,0
Aeromexico,LAX,JFK,30,9,2013,40,unspecified,On vacation/Pleasure,Friend/Family,,True,348
American Airlines,SJC,GDL,1,8,2021,23,undisclosed,Back Home,Home,Car rental,False,0
Volaris,LAX,PDX,10,8,2017,49,undisclosed,Back Home,Home,Public Transportation,False,0
American Airlines,LAX,JFK,7,2,2013,55,male,On vacation/Pleasure,Home,Own car,False,0
Aeromexico,PDX,SJC,6,1,2023,31,undisclosed,On vacation/Pleasure,Short-term homestay,,True,115
American Airlines,LAX,PDX,12,12,2019,38,unspecified,Back Home,Home,Public Transportation,False,0
American Airlines,JFK,PDX,12,2,2013,61,female,Back Home,Home,Car rental,False,0
Volaris,JFK,PDX,5,12,2016,45,female,On vacation/Pleasure,Short-term homestay,Own car,False,0
Delta Airlines,LAX,JFK,27,5,2022,57,unspecified,On vacation/Pleasure,Friend/Family,,True,653
Aeromexico,JFK,GDL,30,6,2016,68,unspecified,Back Home,Home,Car rental,False,0
Alaska,PDX,GDL,6,2,2019,41,undisclosed,Back Home,Home,Mobility as a service,False,0
Aeromexico,LAX,GDL,29,8,2014,84,male,Back Home,Home,Pickup,False,0
Aeromexico,GDL,SJC,23,1,2020,63,female,Back Home,Home,Airport cab,False,0
Aeromexico,LAX,SJC,13,12,2022,54,female,Back Home,Home,Pickup,False,0
Aeromexico,LAX,SJC,20,6,2019,50,male,Business/Work,Short-term homestay,,True,41
American Airlines,SJC,GDL,8,8,2020,29,undisclosed,Business/Work,Hotel,,True,562
Alaska,LAX,JFK,4,8,2019,42,male,Business/Work,Home,,True,642
Alaska,JFK,SJC,11,2,2023,17,undisclosed,Business/Work,Friend/Family,Airport cab,False,0
Alaska,PDX,LAX,14,2,2018,70,undisclosed,Back Home,Home,Mobility as a service,False,0
American Airlines,PDX,LAX,23,3,2022,85,unspecified,On vacation/Pleasure,Friend/Family,,True,156
Alaska,GDL,JFK,27,9,2016,48,unspecified,Business/Work,Friend/Family,,True,302
Delta Airlines,GDL,LAX,9,12,2016,5,unspecified,Business/Work,Hotel,,True,288
Alaska,PDX,LAX,23,6,2020,18,female,Business/Work,Home,,True,395
American Airlines,JFK,PDX,19,12,2020,23,unspecified,Back Home,Home,Airport cab,False,0
Delta Airlines,LAX,JFK,11,4,2013,44,female,On vacation/Pleasure,Home,Public Transportation,False,0
Delta Airlines,JFK,SJC,1,9,2021,59,female,On vacation/Pleasure,Short-term homestay,Airport cab,False,0
Volaris,GDL,PDX,5,9,2014,23,undisclosed,Back Home,Home,Public Transportation,False,0
American Airlines,PDX,LAX,13,12,2017,74,male,Back Home,Home,Public Transportation,False,0
American Airlines,GDL,PDX,14,9,2019,16,unspecified,On vacation/Pleasure,Short-term homestay,Pickup,False,0
American Airlines,GDL,LAX,12,4,2021,47,female,On vacation/Pleasure,Home,Pickup,False,0
Aeromexico,LAX,GDL,21,3,2013,15,male,On vacation/Pleasure,Home,Mobility as a service,False,0
Aeromexico,PDX,GDL,15,3,2022,53,unspecified,Business/Work,Home,Airport cab,False,0
American Airlines,GDL,JFK,24,7,2019,74,undisclosed,Back Home,Home,Pickup,False,0
American Airlines,PDX,GDL,10,7,2017,1,unspecified,On vacation/Pleasure,Home,,True,75
Delta Airlines,SJC,JFK,10,1,2016,46,female,On vacation/Pleasure,Friend/Family,,True,687
Delta Airlines,SJC,LAX,9,12,2016,1,male,On vacation/Pleasure,Short-term homestay,,True,206
American Airlines,LAX,GDL,26,6,2022,68,female,Back Home,Home,Airport cab,False,0
Alaska,GDL,PDX,11,3,2015,6,female,Business/Work,Hotel,,True,297
American Airlines,GDL,SJC,1,11,2019,66,male,On vacation/Pleasure,Short-term homestay,Car rental,False,0
Delta Airlines,SJC,GDL,18,9,2019,28,female,Business/Work,Home,,True,536
Aeromexico,PDX,SJC,6,12,2015,79,undisclosed,Business/Work,Friend/Family,,True,509
Volaris,PDX,JFK,22,3,2021,58,male,Business/Work,Home,Own car,False,0
Alaska,LAX,PDX,16,4,2020,64,undisclosed,Back Home,Home,Pickup,False,0
American Airlines,SJC,LAX,18,10,2014,76,undisclosed,On vacation/Pleasure,Short-term homestay,Own car,False,0
Alaska,PDX,SJC,15,12,2019,31,unspecified,On vacation/Pleasure,Home,,True,643
Delta Airlines,LAX,GDL,2,5,2020,48,male,Back Home,Home,Pickup,False,0
Aeromexico,SJC,GDL,3,4,2019,58,unspecified,On vacation/Pleasure,Friend/Family,Public Transportation,False,0
